47,"gue bingung sejak kapan yak trend anak muda sekarang pada kebelet nikah? bacain curhatan di cermindramatis dan cerminlelaki, umur 20 awal aja udh pads ngebet nikah, ngapa dah? dulu gue kira gue bakal nikah umur 27-28 atau malah tdk sama sekali."
48,"jadi ingat jaman kuliah di bandung. saya ikutan baksos di daerah garut pelosok mana gitu. ketemu anak gadis manis imut nggendong bayi 5 bulan.
ketika kutanya, “adeknya ya teh?”.
dia jawab, “anak saya”.

trus hatiku ngilu denger crita di situ gadis cilik pd nikah muda &amp; dicerai. https://t.co/6mx3k5sss1"
49,"@askmenfess jangan dipaksa. gabaik. kalo belum siap jangan banget deh! apalagi km belum tau seluk beluk si cowoknya. jangan. kamu masih cukup muda kok. belum tua. jangan sembarangan ya, nikah itu hal yg serius"
50,"@sarirotibergizi tp ga salah sih, sebenernya. gue jd kasian dia dihujat2. mungkin dia masih muda &amp; masih punya pandangan idealnya dia soal pernikahan. kayak masih sebatas teori2 aja, tapi mungkin kalo udah terjun menggeluti jadi ada bayangan gimana realitanya (sotoy bat w nikah 2 taon aja blm)"
51,"nikah muda, dibilang sayang masa depannya.
nikah ketuaan, dibilang gak laku.
habis nikah langsung hamil, dibilang hamil duluan.
habis nikah gak hamil-hamil, dibilang mandul.

dasar tetanggaku"
52,"dulu: ingin nikah muda
now: disuruh jagain ponakan seminggu, ehm aku boleh extend umur 23 terus aja ngga"
53,"prilly latuconsina dan maxime bouttier ogah nikah muda, ini alasannya   https://t.co/93uwnpsto1 https://t.co/trruwqxece"
54,"muslimah masjid cibadak || bismillah (ibu muda dan muslimah pra nikah)
 
assalamu'alaikum warahmatullahi wabarakatuh.

share info ini yuk.
bismillahirrohmanirrohim....

kajian rutin kamis
""al quran pengokoh… https://t.co/m3irsdgvkd"
55,"👩🏼‍🦱: eh, aku pengen deh cepet2 nikah biar tau rasanya gimana
👩🏻‍🦳: iya ya kayanya seru tuh udah sekamar sm suami

me: nikmatin masa muda lu dulu sob, nyari tua mah gampang, nyari muda yg susah"
56,"saudara sepupu yg setahun lebih muda dr aku mo nikah...

hatiku menjerit......
lah gua keduluan, gua di langkahin. omaygad omaygad"
57,"@midnuite masih muda gini, baru nikah"
58,"hari gini masih ada yg iri lihat sodara/temennya, yang lebih muda mau nikah. masih saja kurang bersyukur"
59,"buat kalian yang nikah muda cuma buat menghindari zina aja, satu kata dri gw. 

lemah!"
60,"nikah muda, dibilang sayang masa depannya.
nikah ketuaan, dibilang gak laku.
habis nikah langsung hamil, dibilang hamil duluan.
habis nikah gak hamil-hamil, dibilang mandul.

dasar tetanggaku."
61,"@doggudoggu gw sih pasti kalo udah nikah, gw nyuruh istri gw yg melanjutkan pendidikan sampai s3 duluan. jadi, kalo gw yg pergi duluan, seenggaknya dia dengan umur yg udah gak muda lagi masih bisa nyari kerja dengan gelar s3nya."
62,"gapapa aku kerja mati2an, habisin masa muda buat cari uang, biar nanti kamu sama aku bahagia ya, aku ga mau nyusahin anak org, capek2 di besarin bpknya pas nikah eh malah di ajak susah.."
63,"gpp niqa muda tp kalau siap lahir batin mah. niqa itu bukan sebatas ""cinta"".
menikah itu juga ada ilmunya. lu nyari suami/istri 1 untuk seumur hidup itu beda dengan nyari pacar.
""nikah muda dong biar pacarannya abis nikah"" 
weleh kalau bosen masak iya cerai?"
64,nikah muda / nikah mapan?
65,@askfess jd pengen nikah muda tp aku udah tua
